event,start,end,hours,peak
nursery-2 100 L |EC − setpoint| > 0.3,2026-08-25 17:00:00+07:00,2026-08-25 17:50:00+07:00,1.0,0.39
nursery-2 100 L |EC − setpoint| > 0.3,2026-08-25 14:40:00+07:00,2026-08-25 16:30:00+07:00,2.0,0.4
nursery-2 100 L |EC − setpoint| > 0.3,2026-08-25 13:10:00+07:00,2026-08-25 14:20:00+07:00,1.3,0.39
nursery-2 100 L pH outside 5.5–6.5,2026-08-25 08:10:00+07:00,2026-08-25 17:00:00+07:00,9.0,7.35
nursery-2 100 L pH outside 5.5–6.5,2026-08-25 07:20:00+07:00,2026-08-25 07:50:00+07:00,0.7,7.05
nursery-2 100 L |EC − setpoint| > 0.3,2026-08-25 02:20:00+07:00,2026-08-25 03:10:00+07:00,1.0,0.39
nursery-2 100 L |EC − setpoint| > 0.3,2026-08-25 01:30:00+07:00,2026-08-25 02:00:00+07:00,0.7,0.41
nursery-2 100 L |EC − setpoint| > 0.3,2026-08-24 23:00:00+07:00,2026-08-24 23:20:00+07:00,0.5,0.38
nursery-2 100 L pH outside 5.5–6.5,2026-08-24 22:20:00+07:00,2026-08-25 07:00:00+07:00,8.8,7.04
nursery-2 100 L |EC − setpoint| > 0.3,2026-08-24 18:20:00+07:00,2026-08-24 18:50:00+07:00,0.7,0.32
nursery-2 100 L pH outside 5.5–6.5,2026-08-24 18:20:00+07:00,2026-08-24 22:00:00+07:00,3.8,6.88
growing 200 L pH outside 5.5–6.5,2026-08-24 15:40:00+07:00,2026-08-24 16:00:00+07:00,0.5,6.6
nursery-2 100 L pH outside 5.5–6.5,2026-08-24 13:40:00+07:00,2026-08-24 18:00:00+07:00,4.5,6.78
growing 200 L |EC − setpoint| > 0.3,2026-08-24 12:40:00+07:00,2026-08-24 13:30:00+07:00,1.0,0.32
growing 200 L |EC − setpoint| > 0.3,2026-08-24 10:50:00+07:00,2026-08-24 12:20:00+07:00,1.7,0.55
nursery-2 100 L |EC − setpoint| > 0.3,2026-08-24 09:00:00+07:00,2026-08-24 13:50:00+07:00,5.0,0.84
nursery-2 100 L |EC − setpoint| > 0.3,2026-08-24 07:20:00+07:00,2026-08-24 08:40:00+07:00,1.5,0.8
nursery-2 100 L pH outside 5.5–6.5,2026-08-23 06:10:00+07:00,2026-08-23 07:30:00+07:00,1.5,5.48
nursery-2 100 L pH outside 5.5–6.5,2026-08-23 04:30:00+07:00,2026-08-23 05:50:00+07:00,1.5,5.5
nursery-2 100 L pH outside 5.5–6.5,2026-08-22 09:40:00+07:00,2026-08-22 16:20:00+07:00,6.8,5.5
nursery-2 100 L pH outside 5.5–6.5,2026-08-22 06:40:00+07:00,2026-08-22 09:20:00+07:00,2.8,5.49
nursery-2 100 L pH outside 5.5–6.5,2026-08-21 19:30:00+07:00,2026-08-21 21:30:00+07:00,2.2,5.49
nursery-2 100 L pH outside 5.5–6.5,2026-08-21 16:20:00+07:00,2026-08-21 19:10:00+07:00,3.0,5.5
growing 200 L pH outside 5.5–6.5,2026-08-20 16:10:00+07:00,2026-08-20 16:30:00+07:00,0.5,5.45
growing 200 L pH outside 5.5–6.5,2026-08-20 14:00:00+07:00,2026-08-20 15:30:00+07:00,1.7,6.71
growing 200 L pH outside 5.5–6.5,2026-08-20 08:30:00+07:00,2026-08-20 13:40:00+07:00,5.3,7.23
growing 200 L pH outside 5.5–6.5,2026-08-20 07:30:00+07:00,2026-08-20 08:10:00+07:00,0.8,7.26
growing 200 L pH outside 5.5–6.5,2026-08-20 00:20:00+07:00,2026-08-20 07:10:00+07:00,7.0,7.27
growing 200 L pH outside 5.5–6.5,2026-08-19 22:50:00+07:00,2026-08-19 23:30:00+07:00,0.8,7.22
growing 200 L pH outside 5.5–6.5,2026-08-19 21:40:00+07:00,2026-08-19 22:00:00+07:00,0.5,7.17
growing 200 L pH outside 5.5–6.5,2026-08-19 11:40:00+07:00,2026-08-19 21:00:00+07:00,9.5,7.17
growing 200 L |EC − setpoint| > 0.3,2026-08-18 16:00:00+07:00,2026-08-18 16:30:00+07:00,0.7,0.66
growing 200 L pH outside 5.5–6.5,2026-08-18 16:00:00+07:00,2026-08-18 16:20:00+07:00,0.5,6.83
nursery-2 100 L |EC − setpoint| > 0.3,2026-08-18 12:20:00+07:00,2026-08-18 15:40:00+07:00,3.5,0.38
growing 200 L pH outside 5.5–6.5,2026-08-18 09:40:00+07:00,2026-08-18 10:50:00+07:00,1.3,5.5
nursery-2 100 L |EC − setpoint| > 0.3,2026-08-18 09:00:00+07:00,2026-08-18 12:00:00+07:00,3.2,0.55
nursery-2 100 L pH outside 5.5–6.5,2026-08-18 09:00:00+07:00,2026-08-18 12:00:00+07:00,3.2,7.35
nursery-2 100 L |EC − setpoint| > 0.3,2026-08-18 04:40:00+07:00,2026-08-18 08:30:00+07:00,4.0,0.5
nursery-2 100 L pH outside 5.5–6.5,2026-08-18 04:40:00+07:00,2026-08-18 08:30:00+07:00,4.0,7.36
xy_md_22 (room) RH > 85 %,2026-08-18 03:00:00+07:00,2026-08-18 03:20:00+07:00,0.5,92.2
nursery-2 100 L |EC − setpoint| > 0.3,2026-08-18 00:30:00+07:00,2026-08-18 04:20:00+07:00,4.0,0.51
nursery-2 100 L pH outside 5.5–6.5,2026-08-18 00:30:00+07:00,2026-08-18 04:20:00+07:00,4.0,7.32
nursery-2 100 L |EC − setpoint| > 0.3,2026-08-17 21:50:00+07:00,2026-08-18 00:10:00+07:00,2.5,0.5
nursery-2 100 L pH outside 5.5–6.5,2026-08-17 21:50:00+07:00,2026-08-18 00:10:00+07:00,2.5,7.26
growing 200 L pH outside 5.5–6.5,2026-08-17 17:30:00+07:00,2026-08-17 21:10:00+07:00,3.8,5.49
nursery-2 100 L pH outside 5.5–6.5,2026-08-17 07:50:00+07:00,2026-08-17 21:10:00+07:00,13.5,7.22
nursery-2 100 L |EC − setpoint| > 0.3,2026-08-17 07:50:00+07:00,2026-08-17 21:10:00+07:00,13.5,0.52
growing 200 L pH outside 5.5–6.5,2026-08-17 07:50:00+07:00,2026-08-17 17:10:00+07:00,9.5,5.48
growing 200 L pH outside 5.5–6.5,2026-08-16 16:20:00+07:00,2026-08-17 07:30:00+07:00,15.3,5.48
nursery-2 100 L |EC − setpoint| > 0.3,2026-08-16 16:20:00+07:00,2026-08-17 07:30:00+07:00,15.3,0.49
nursery-2 100 L pH outside 5.5–6.5,2026-08-16 16:20:00+07:00,2026-08-17 07:30:00+07:00,15.3,7.08
nursery-2 100 L |EC − setpoint| > 0.3,2026-08-16 05:50:00+07:00,2026-08-16 16:00:00+07:00,10.3,0.41
nursery-2 100 L |EC − setpoint| > 0.3,2026-08-16 04:40:00+07:00,2026-08-16 05:30:00+07:00,1.0,0.32
nursery-2 100 L pH outside 5.5–6.5,2026-08-16 01:20:00+07:00,2026-08-16 16:00:00+07:00,14.8,6.78
growing 200 L pH outside 5.5–6.5,2026-08-15 21:20:00+07:00,2026-08-16 16:00:00+07:00,18.8,5.43
growing 200 L pH outside 5.5–6.5,2026-08-14 11:00:00+07:00,2026-08-14 12:10:00+07:00,1.3,5.49
growing 200 L pH outside 5.5–6.5,2026-08-14 09:40:00+07:00,2026-08-14 10:40:00+07:00,1.2,5.47
growing 200 L pH outside 5.5–6.5,2026-08-14 06:40:00+07:00,2026-08-14 09:20:00+07:00,2.8,5.49
growing 200 L pH outside 5.5–6.5,2026-08-14 03:00:00+07:00,2026-08-14 05:50:00+07:00,3.0,5.48
nursery-2 100 L pH outside 5.5–6.5,2026-08-13 20:40:00+07:00,2026-08-13 21:00:00+07:00,0.5,5.5
growing 200 L pH outside 5.5–6.5,2026-08-13 14:00:00+07:00,2026-08-13 15:40:00+07:00,1.8,5.48
growing 200 L pH outside 5.5–6.5,2026-08-13 06:10:00+07:00,2026-08-13 13:20:00+07:00,7.3,5.47
growing 200 L pH outside 5.5–6.5,2026-08-12 16:00:00+07:00,2026-08-12 17:10:00+07:00,1.3,5.5
growing 200 L pH outside 5.5–6.5,2026-08-12 08:30:00+07:00,2026-08-12 11:00:00+07:00,2.7,5.5
growing 200 L pH outside 5.5–6.5,2026-08-11 11:00:00+07:00,2026-08-11 12:20:00+07:00,1.5,5.5
growing 200 L pH outside 5.5–6.5,2026-08-09 14:40:00+07:00,2026-08-09 15:00:00+07:00,0.5,5.14
growing 200 L pH outside 5.5–6.5,2026-08-05 10:20:00+07:00,2026-08-05 10:40:00+07:00,0.5,5.49
nursery-2 100 L |EC − setpoint| > 0.3,2026-08-05 09:00:00+07:00,2026-08-05 11:40:00+07:00,2.8,0.5
nursery-2 100 L pH outside 5.5–6.5,2026-08-05 09:00:00+07:00,2026-08-05 11:40:00+07:00,2.8,6.68
nursery-2 100 L pH outside 5.5–6.5,2026-08-05 07:30:00+07:00,2026-08-05 08:40:00+07:00,1.3,6.64
nursery-2 100 L |EC − setpoint| > 0.3,2026-08-05 07:30:00+07:00,2026-08-05 08:40:00+07:00,1.3,0.46
growing 200 L pH outside 5.5–6.5,2026-08-05 05:10:00+07:00,2026-08-05 07:10:00+07:00,2.2,5.5
nursery-2 100 L pH outside 5.5–6.5,2026-08-05 05:00:00+07:00,2026-08-05 07:10:00+07:00,2.3,6.59
nursery-2 100 L |EC − setpoint| > 0.3,2026-08-04 23:10:00+07:00,2026-08-05 07:10:00+07:00,8.2,0.44
growing 200 L pH outside 5.5–6.5,2026-08-04 20:30:00+07:00,2026-08-04 21:30:00+07:00,1.2,5.49
growing 200 L pH outside 5.5–6.5,2026-08-04 18:20:00+07:00,2026-08-04 20:00:00+07:00,1.8,5.49
nursery-2 100 L pH outside 5.5–6.5,2026-08-04 10:50:00+07:00,2026-08-04 12:40:00+07:00,2.0,5.49
nursery-2 100 L pH outside 5.5–6.5,2026-08-04 09:10:00+07:00,2026-08-04 09:40:00+07:00,0.7,5.48
nursery-2 100 L pH outside 5.5–6.5,2026-08-04 07:10:00+07:00,2026-08-04 07:50:00+07:00,0.8,5.49
nursery-2 100 L pH outside 5.5–6.5,2026-08-04 05:40:00+07:00,2026-08-04 06:10:00+07:00,0.7,5.48
nursery-2 100 L pH outside 5.5–6.5,2026-08-04 04:10:00+07:00,2026-08-04 04:40:00+07:00,0.7,5.48
nursery-2 100 L pH outside 5.5–6.5,2026-08-04 02:10:00+07:00,2026-08-04 02:50:00+07:00,0.8,5.49
growing 200 L pH outside 5.5–6.5,2026-08-04 02:10:00+07:00,2026-08-04 17:50:00+07:00,15.8,5.42
nursery-2 100 L pH outside 5.5–6.5,2026-08-04 00:50:00+07:00,2026-08-04 01:10:00+07:00,0.5,5.46
nursery-2 100 L pH outside 5.5–6.5,2026-08-03 23:00:00+07:00,2026-08-03 23:30:00+07:00,0.7,5.49
nursery-2 100 L pH outside 5.5–6.5,2026-08-03 21:20:00+07:00,2026-08-03 21:40:00+07:00,0.5,5.47
nursery-2 100 L pH outside 5.5–6.5,2026-08-03 20:00:00+07:00,2026-08-03 20:20:00+07:00,0.5,5.5
nursery-2 100 L pH outside 5.5–6.5,2026-08-03 18:10:00+07:00,2026-08-03 18:40:00+07:00,0.7,5.49
growing 200 L pH outside 5.5–6.5,2026-08-03 17:50:00+07:00,2026-08-03 19:20:00+07:00,1.7,5.48
nursery-2 100 L pH outside 5.5–6.5,2026-08-03 16:50:00+07:00,2026-08-03 17:20:00+07:00,0.7,5.49
nursery-2 100 L pH outside 5.5–6.5,2026-08-03 15:20:00+07:00,2026-08-03 15:40:00+07:00,0.5,5.49
nursery-2 100 L pH outside 5.5–6.5,2026-08-03 13:20:00+07:00,2026-08-03 14:00:00+07:00,0.8,5.48
nursery-2 100 L pH outside 5.5–6.5,2026-08-03 11:30:00+07:00,2026-08-03 12:30:00+07:00,1.2,5.5
growing 200 L pH outside 5.5–6.5,2026-08-03 10:50:00+07:00,2026-08-03 17:00:00+07:00,6.3,5.5
nursery-2 100 L pH outside 5.5–6.5,2026-08-03 10:00:00+07:00,2026-08-03 10:30:00+07:00,0.7,5.45
growing 200 L pH outside 5.5–6.5,2026-08-03 09:00:00+07:00,2026-08-03 10:30:00+07:00,1.7,5.45
nursery-2 100 L pH outside 5.5–6.5,2026-08-03 06:50:00+07:00,2026-08-03 07:40:00+07:00,1.0,5.5
nursery-2 100 L pH outside 5.5–6.5,2026-08-03 05:30:00+07:00,2026-08-03 06:10:00+07:00,0.8,5.48
nursery-2 100 L pH outside 5.5–6.5,2026-08-03 04:10:00+07:00,2026-08-03 04:40:00+07:00,0.7,5.47
nursery-2 100 L pH outside 5.5–6.5,2026-08-03 02:40:00+07:00,2026-08-03 03:10:00+07:00,0.7,5.47
nursery-2 100 L pH outside 5.5–6.5,2026-08-03 01:20:00+07:00,2026-08-03 02:00:00+07:00,0.8,5.5
nursery-2 100 L pH outside 5.5–6.5,2026-08-03 00:00:00+07:00,2026-08-03 00:30:00+07:00,0.7,5.48
nursery-2 100 L pH outside 5.5–6.5,2026-08-02 22:30:00+07:00,2026-08-02 23:00:00+07:00,0.7,5.46
nursery-2 100 L pH outside 5.5–6.5,2026-08-02 21:10:00+07:00,2026-08-02 21:50:00+07:00,0.8,5.49
nursery-2 100 L pH outside 5.5–6.5,2026-08-02 19:50:00+07:00,2026-08-02 20:10:00+07:00,0.5,5.46
nursery-2 100 L pH outside 5.5–6.5,2026-08-02 18:20:00+07:00,2026-08-02 18:50:00+07:00,0.7,5.46
nursery-2 100 L pH outside 5.5–6.5,2026-08-02 16:00:00+07:00,2026-08-02 16:20:00+07:00,0.5,5.47
nursery-2 100 L pH outside 5.5–6.5,2026-08-02 14:40:00+07:00,2026-08-02 15:10:00+07:00,0.7,5.47
nursery-2 100 L pH outside 5.5–6.5,2026-08-02 13:20:00+07:00,2026-08-02 13:50:00+07:00,0.7,5.46
nursery-2 100 L pH outside 5.5–6.5,2026-08-02 12:00:00+07:00,2026-08-02 12:40:00+07:00,0.8,5.49
nursery-2 100 L pH outside 5.5–6.5,2026-08-02 10:50:00+07:00,2026-08-02 11:20:00+07:00,0.7,5.49
nursery-2 100 L pH outside 5.5–6.5,2026-08-02 09:40:00+07:00,2026-08-02 10:00:00+07:00,0.5,5.48
nursery-2 100 L pH outside 5.5–6.5,2026-08-02 08:20:00+07:00,2026-08-02 08:40:00+07:00,0.5,5.49
growing 200 L pH outside 5.5–6.5,2026-08-02 08:20:00+07:00,2026-08-03 08:40:00+07:00,24.5,5.46
nursery-2 100 L pH outside 5.5–6.5,2026-08-02 04:20:00+07:00,2026-08-02 05:00:00+07:00,0.8,5.5
nursery-2 100 L pH outside 5.5–6.5,2026-08-02 03:10:00+07:00,2026-08-02 03:40:00+07:00,0.7,5.47
growing 200 L pH outside 5.5–6.5,2026-08-02 02:20:00+07:00,2026-08-02 05:10:00+07:00,3.0,5.25
nursery-2 100 L pH outside 5.5–6.5,2026-08-02 01:50:00+07:00,2026-08-02 02:10:00+07:00,0.5,5.49
nursery-2 100 L pH outside 5.5–6.5,2026-08-01 22:30:00+07:00,2026-08-01 22:50:00+07:00,0.5,5.47
nursery-2 100 L pH outside 5.5–6.5,2026-08-01 21:20:00+07:00,2026-08-01 21:50:00+07:00,0.7,5.5
nursery-2 100 L pH outside 5.5–6.5,2026-08-01 20:20:00+07:00,2026-08-01 20:40:00+07:00,0.5,5.45
nursery-2 100 L pH outside 5.5–6.5,2026-08-01 19:20:00+07:00,2026-08-01 19:40:00+07:00,0.5,5.48
nursery-2 100 L pH outside 5.5–6.5,2026-08-01 18:20:00+07:00,2026-08-01 18:40:00+07:00,0.5,5.48
nursery-2 100 L pH outside 5.5–6.5,2026-08-01 17:10:00+07:00,2026-08-01 17:30:00+07:00,0.5,5.48
nursery-2 100 L pH outside 5.5–6.5,2026-08-01 16:10:00+07:00,2026-08-01 16:30:00+07:00,0.5,5.46
growing 200 L pH outside 5.5–6.5,2026-08-01 15:50:00+07:00,2026-08-01 18:00:00+07:00,2.3,5.5
nursery-2 100 L pH outside 5.5–6.5,2026-08-01 13:10:00+07:00,2026-08-01 13:30:00+07:00,0.5,5.48
nursery-2 100 L pH outside 5.5–6.5,2026-08-01 11:20:00+07:00,2026-08-01 11:40:00+07:00,0.5,5.5
growing 200 L pH outside 5.5–6.5,2026-08-01 09:00:00+07:00,2026-08-01 15:30:00+07:00,6.7,5.48
nursery-2 100 L pH outside 5.5–6.5,2026-08-01 07:30:00+07:00,2026-08-01 07:50:00+07:00,0.5,5.49
nursery-2 100 L pH outside 5.5–6.5,2026-08-01 06:30:00+07:00,2026-08-01 06:50:00+07:00,0.5,5.49
nursery-2 100 L pH outside 5.5–6.5,2026-08-01 05:30:00+07:00,2026-08-01 05:50:00+07:00,0.5,5.49
nursery-2 100 L pH outside 5.5–6.5,2026-08-01 02:00:00+07:00,2026-08-01 04:00:00+07:00,2.2,5.5
growing 200 L pH outside 5.5–6.5,2026-08-01 01:10:00+07:00,2026-08-01 08:40:00+07:00,7.7,5.4
nursery-2 100 L pH outside 5.5–6.5,2026-08-01 00:50:00+07:00,2026-08-01 01:20:00+07:00,0.7,5.5
nursery-2 100 L pH outside 5.5–6.5,2026-07-31 19:20:00+07:00,2026-07-31 19:40:00+07:00,0.5,5.49
growing 200 L pH outside 5.5–6.5,2026-07-31 17:40:00+07:00,2026-07-31 18:20:00+07:00,0.8,5.2
growing 200 L pH outside 5.5–6.5,2026-07-31 15:10:00+07:00,2026-07-31 17:00:00+07:00,2.0,6.99
nursery-2 100 L |EC − setpoint| > 0.3,2026-07-31 13:00:00+07:00,2026-07-31 14:40:00+07:00,1.8,0.92
